写一份回复;write a reply
打乒乓球;play ping-pong
将A与B匹配;match A with B
从中选择想法;choose ideas from
记笔记;make(take) notes
安全第一;Safety first! safe(adj.), safely(adv.)
数以百计;hundreds of
A和B同时;both A and B
一个八分钟的休息;an eight-minute break
让我教你;let me teach you
法语说的好，固定句式（speark + language）;speak French well, speark + language
事实上;in fact
每个人都有他自己的学习习惯;Everyone has his own study habit.
听音乐;listen to music
一个有趣的学科;an interesting subject
在火灾中丧生;lose their lives in the fire
运动场;sports field
对……感兴趣;be interested in
带东西给某人;bring sth. to sb.
你还想要什么;What else do you want?
在实验室做实验;do experiments in the lab
中午;at noon
将A与B进行比较;compare A with B
